"1","PF-GT-GTXHD-DP-882-S","1","1"
"2","D_BRAKE","1","1"
"3","PF-63404-PM","1","1"
"4","PF-14406-GTX","1","1"
"5","D BRAKE","1","1"
"6","PF-DP-714-PM","1","1"
"7","D BRAKE","1","1"
"8","D BRAKE","1","1"
"9","D BRAKE","1","1"
"10","D BRAKE","1","1"
"11","D BRAKE","1","1"
"12","D BRAKE","1","1"
"13","D BRAKE","1","1"
"14","D BRAKE","1","1"
"15","D BRAKE","1","1"
"16","P BRAKE","2","1"
"17","D BRAKE","1","1"
"18","P BRAKE","2","1"
"19","P BRAKE","2","1"
"20","P BRAKE","2","1"
"21","P BRAKE","2","1"
"22","P BRAKE","2","1"
"23","P BRAKE","2","1"
"24","P BRAKE","2","1"
"25","P BRAKE","2","1"
"26","P BRAKE","2","1"
"27","P BRAKE","2","1"
"28","P BRAKE","2","1"
"29","P BRAKE","2","1"
"30","P BRAKE","2","1"
"31","P BRAKE","2","1"
"32","P BRAKE","2","1"
"33","P BRAKE","2","1"
"34","P BRAKE","2","1"
"35","P BRAKE","2","1"
"36","P BRAKE","2","1"
"37","P BRAKE","2","1"
"38","P BRAKE","2","1"
"39","P BRAKE","2","1"
"40","P BRAKE","2","1"
"41","P BRAKE","2","1"
"42","P BRAKE","2","1"
"43","P BRAKE","2","1"
"44","P BRAKE","2","1"
"45","P BRAKE","2","1"
"46","P BRAKE","2","1"
"47","P BRAKE","2","1"
"48","P BRAKE","2","1"
"49","P BRAKE","2","1"
"50","P BRAKE","2","1"
"51","P BRAKE","2","1"
"52","P BRAKE","2","1"
"53","P BRAKE","2","1"
"54","P BRAKE","2","1"
"55","P BRAKE","2","1"
"56","P BRAKE","2","1"
"57","P BRAKE","2","1"
"58","P BRAKE","2","1"
"59","P BRAKE","2","1"
"60","P BRAKE","2","1"
"61","P BRAKE","2","1"
"62","P BRAKE","2","1"
"63","P BRAKE","2","1"
"64","P BRAKE","2","1"
"65","P BRAKE","2","1"
"66","P BRAKE","2","1"
"67","P BRAKE","2","1"
"68","P BRAKE","2","1"
"69","P BRAKE","2","1"
"70","P BRAKE","2","1"
"71","P BRAKE","2","1"
"72","P BRAKE","2","1"
"73","P BRAKE","2","1"
"74","P BRAKE","2","1"
"75","P BRAKE","2","1"
"76","P BRAKE","2","1"
"77","P BRAKE","2","1"
"78","P BRAKE","2","1"
"79","P BRAKE","2","1"
"80","P BRAKE","2","1"
"81","P BRAKE","2","1"
"82","P BRAKE","2","1"
"83","P BRAKE","2","1"
