date,Tipo de trámite,,,Total 2019P/,Nueva,Renovada
2019,Licencias de conducir por clase,Profesionales,A1,49 023,936,48 087
2019,Licencias de conducir por clase,Profesionales,A2,134 674,15 670,119 004
2019,Licencias de conducir por clase,Profesionales,A3,36 547,6 113,30 434
2019,Licencias de conducir por clase,Profesionales,A4,69 193,15 923,53 270
2019,Licencias de conducir por clase,Profesionales,A5,23 426,5 280,18 146
2019,Licencias de conducir por clase,No profesionales,B,939 225,196 266,742 959
2019,Licencias de conducir por clase,No profesionales,C,94 906,23 411,71 495
2019,Licencias de conducir por clase,Especiales,D,122 056,27 210,94 846
2019,Licencias de conducir por clase,Especiales,E,643,56,587
2019,Licencias de conducir por clase,Especiales,F,16 312,3 900,12 412
